#TAK ADSB IDs ITALY Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"320003","a-f-A-M-F-U-L","MM62248","P.180AM","ITA Guardia di Finanza"
"320004","a-f-A-M-F-U-L","MM62249","P.180AM","ITA Guardia di Finanza"
"320006","a-f-A-M-F-U-L","MM62275","P.180","ITA Carabinieri"
"32000a","a-f-A-M-H-U-M","MM81748","PH-139A","ITA CG"
"320013","a-f-A-M-F-P","MM62208","ATR 42-420MP","ITA CG"
"32001c","a-f-A-M-H-U-M","MM81892","AW.139","ITA CG"
"32001e","a-f-A-M-H-U-M","MM81898","AW.139","ITA CG"
"320022","a-f-A-M-H-U-M","MM81927","AW.139","ITA Guardia di Finanza"
"320023","a-f-A-M-H-U-M","MM81929","AW.139","ITA Guardia di Finanza"
"320028","a-f-A-M-H-U-M","MM81949","AW.139","ITA Guardia di Finanza"
"320029","a-f-A-M-H-U-M","MM81950","AW.139","ITA Guardia di Finanza"
"32002e","a-f-A-M-F-U-M","MM62311","ATR 72-212A","ITA Guardia di Finanza"
"320031","a-f-A-C-H-U-M","MM81962","AW.169","ITA Guardia di Finanza"
"320038","a-f-A-M-H-U-M","MM81964","AW.139","ITA Guardia di Finanza"
"320039","a-f-A-M-H-U-M","MM81965","AW.169","ITA Guardia di Finanza"
"320040","a-f-A-M-F-P","MM62315","P-72B","ITA Guardia di Finanza"
"320054","a-f-A-M-H-U-M","MM82041","AW.139","ITA CG"
"32005a","a-f-A-M-H-U-M","CSX82049","AW.169LUH","ITA Guardia di Finanza"
"32005e","a-f-A-M-H-U-M","CSX82061","AW.169LUH","ITA Guardia di Finanza"
"33fceb","a-f-A-M-F-U-L","MM62332","G550","ITA AF"
"33fd0a","a-f-A-M-F-U-L","MM62329","G550","ITA AF"
"33fd31","a-f-A-M-F-T","MM55251","M-345","ITA AF"
"33fd3d","a-f-A-M-H-H","MM82017","HH-139B","ITA AF"
"33fd42","a-f-A-M-H-H","MM82003","HH-139B","ITA AF"
"33fd46","a-f-A-M-H-U-M","MM81993","AW.169","ITA A"
"33fd54","a-f-A-M-H-U-M","MM81977","AW.169","ITA A"
"33fd5e","a-f-A-M-F-Q-R","MMAV-SA-0017","RQ-4D","ITA AF / NATO"
"33fd5f","a-f-A-M-F-U-L","MM62317","Beech 350","ITA AF"
"33fd63","a-f-A-C-H-U-M","MM81968","AW.139","ITA Carabinieri"
"33fd6e","a-f-A-M-F-T","MM55229","T-346A","ITA AF"
"33fd92","a-f-A-M-F-T","MM55218","T.346A","ITA AF"
"33fd94","a-f-A-M-F-U-L","MM62304","P.180","ITA Carabinieri"
"33fd99","a-f-A-M-F-R-W","MM62303","G550 CAEW","ITA AF"
"33fdab","a-f-A-M-F-T","MM55214","T.346A","ITA AF"
"33fdb3","a-f-A-M-F-P","MM62281","P-72A","ITA AF"
"33fdc1","a-f-A-M-F-T","MM55153","T-346A","ITA AF"
"33fdc2","a-f-A-M-F-R-W","MM62293","E-550A CAEW","ITA AF"
"33fddd","a-f-A-M-F-P","MM62280","P-72A","ITA AF"
"33fe0b","a-f-A-M-F-U-L","MM62156","Do 228 212","ITA A"
"33fe0d","a-f-A-M-H-H","MM81823","HH-139A","ITA AF"
"33fe0f","a-f-A-M-F-U-L","MM62161","P.180 Avanti","ITA AF"
"33fe10","a-f-A-M-H-U-M","MM81807","VH-139A","ITA AF"
"33fe11","a-f-A-M-H-U-M","MM81806","VH-139A","ITA AF"
"33fe1a","a-f-A-M-H-H","MM81804","HH-139A","ITA AF"
